milk 92-19,,
Current date: 07/21/2020 11:56 AM (Eastern Daylight Time),,
Country: World Total,,
Measures: Value ($US),,
Commodity,Time,Value ($US)
"0401 Milk And Cream, Not Concentrated Or Sweetened",1992,"27,158,107"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1993,"37,968,440"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1994,"43,606,480"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1995,"21,128,444"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1996,"29,325,643"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1997,"34,408,162"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1998,"26,727,682"
"0401 Milk And Cream, Not Concentrated Or Sweetened",1999,"16,225,856"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2000,"20,059,073"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2001,"22,207,892"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2002,"21,416,450"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2003,"26,532,915"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2004,"22,854,645"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2005,"17,321,372"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2006,"19,772,342"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2007,"38,078,443"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2008,"41,091,465"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2009,"44,286,103"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2010,"60,080,592"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2011,"65,212,223"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2012,"53,362,457"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2013,"72,872,022"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2014,"84,901,937"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2015,"89,973,995"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2016,"107,007,075"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2017,"112,806,294"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2018,"107,579,471"
"0401 Milk And Cream, Not Concentrated Or Sweetened",2019,"122,420,146"
