meat of poultry 92-19,,
Current date: 07/21/2020 11:58 AM (Eastern Daylight Time),,
Country: World Total,,
Measures: Value ($US),,
Commodity,Time,Value ($US)
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1992,"816,672,081"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1993,"960,350,346"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1994,"1,433,583,944"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1995,"1,849,499,605"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1996,"2,312,891,611"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1997,"2,199,250,154"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1998,"1,958,296,509"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",1999,"1,639,539,051"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2000,"1,727,701,651"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2001,"2,056,715,765"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2002,"1,544,930,664"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2003,"1,746,094,498"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2004,"2,039,198,384"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2005,"2,489,053,089"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2006,"2,217,269,740"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2007,"3,252,035,032"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2008,"4,156,457,782"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2009,"3,839,858,517"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2010,"3,816,597,668"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2011,"4,504,991,681"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2012,"5,022,307,754"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2013,"4,984,393,004"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2014,"4,931,668,810"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2015,"3,471,434,346"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2016,"3,314,909,212"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2017,"3,633,816,097"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2018,"3,628,246,639"
"0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",2019,"3,746,018,128"
