meat of swine 92-19,,
Current date: 07/21/2020 11:59 AM (Eastern Daylight Time),,
Country: World Total,,
Measures: Value ($US),,
Commodity,Time,Value ($US)
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1992,"395,530,907"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1993,"434,278,221"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1994,"478,358,556"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1995,"750,363,588"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1996,"928,812,501"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1997,"957,050,887"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1998,"926,448,047"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1999,"992,045,401"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2000,"1,170,523,686"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2001,"1,281,130,297"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2002,"1,183,592,853"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2003,"1,236,656,510"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2004,"1,676,037,318"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2005,"2,068,021,869"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2006,"2,221,462,451"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2007,"2,488,250,069"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2008,"3,788,421,417"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2009,"3,175,547,295"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2010,"3,529,732,833"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2011,"4,692,463,205"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2012,"4,838,243,333"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2013,"4,431,579,954"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2014,"4,978,814,655"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2015,"4,034,051,449"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2016,"4,225,110,280"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2017,"4,577,279,250"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2018,"4,602,036,185"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",2019,"5,217,446,360"
